#Strain,Isolate,Location,Assembly,Collection date,Isolation type,Host,AMR genotypes,AST phenotypes
ATCC BAA-2113,PDT000229938.1,USA,GCA_002237015.1,1995/1996,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1028=COMPLETE,blaPDC-6=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
ATCC BAA-2108,PDT000229939.1,USA,GCA_002237025.1,1995/1996,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-937=COMPLETE,blaPDC-31=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=MISTRANSLATION,mexX=COMPLETE",
ATCC BAA-2112,PDT000229942.1,USA,GCA_002237085.1,1995/1996,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-433=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
ATCC BAA-2111,PDT000230857.1,USA,GCA_002238215.1,1995/1996,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-24=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
3C1A,PDT000400264.1,Japan: Lake Tomaco,GCA_003698715.1,2003,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-374=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
F462,PDT000400266.1,Philippines,GCA_003698765.1,,,Nicotiana tabacum,"aph(3')-IIb=COMPLETE,blaOXA-1032=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AF9A,PDT000400269.1,Germany,GCA_003698825.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=PARTIAL,mexE=COMPLETE,mexX=COMPLETE",
PA-W44,PDT000411536.1,United Kingdom: Nottingham,GCA_003833485.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1028=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA-W1,PDT000411545.1,United Kingdom: Nottingham,GCA_003833685.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1021=COMPLETE,blaPDC-167=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AA44,PDT000411553.1,Germany,GCA_003833845.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=PARTIAL,mexE=COMPLETE,mexX=COMPLETE",
JYH26,PDT000411569.1,Japan,GCA_003834165.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
CF27,PDT000411576.1,USA: Jackson,GCA_003834305.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-6=COMPLETE,catB7=COMPLETE,fosA=MISTRANSLATION,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
DUN-013,PDT000411619.1,New Zealand: Dunedin,GCA_003835145.1,28/11/2012,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1030=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
DUN-004,PDT000411620.1,New Zealand: Dunedin,GCA_003835165.1,22/08/2012,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-197=COMPLETE,catB7=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
JYH10,PDT000411624.1,Japan,GCA_003835265.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-1028=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
LiP4,PDT000411643.1,United Kingdom: Nottingham,GCA_003835645.1,15/03/2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
U435,PDT000411663.1,Australia: Hobart,GCA_003836035.1,19/03/2007,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-24=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
U421,PDT000411664.1,Australia: Hobart,GCA_003836075.1,02/02/2007,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=MISTRANSLATION,mexE=COMPLETE,mexX=COMPLETE",
MSB3405,PDT000411665.1,New Zealand: Dunedin,GCA_003836065.1,1991,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-847=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PMM38,PDT000411668.1,South Korea: Seoul,GCA_003836135.1,2004,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-16=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=PARTIAL_END_OF_CONTIG",
JD303,PDT000411669.1,Canada: Toronto,GCA_003836165.1,2005-11,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1028=COMPLETE,blaPDC-6=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
LMG2107,PDT000411679.1,Puerto Rico: Canas,GCA_003836355.1,1938,,,"aph(3')-IIb=COMPLETE,blaOXA-1032=COMPLETE,blaPDC-225=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
LiA63_2006,PDT000411680.1,Portugal: Lisbon,GCA_003836385.1,2006,,Macropus,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,cml=HMM,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
LiA179_2006,PDT000411683.1,Portugal: Lisbon,GCA_003836455.1,2006,,Canis lupus,"aph(3')-IIb=COMPLETE,blaOXA-848=COMPLETE,blaPDC-12=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
LiA161_2005,PDT000411685.1,Portugal: Lisbon,GCA_003836465.1,2005,,Psittaciformes,"aph(3')-IIb=COMPLETE,blaOXA-904=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
LiA133_2003,PDT000411687.1,Portugal: Lisbon,GCA_003836525.1,2003,,Pinnipedia,"aph(3')-IIb=COMPLETE,blaOXA-1021=COMPLETE,blaPDC-167=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
CPHL10299,PDT000411692.1,United Kingdom: Colindale,GCA_003836625.1,1962,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
CPHL6749,PDT000411693.1,United Kingdom: Elstree,GCA_003836645.1,1944,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE",
Tu61,PDT000411695.1,Tunisia: Mediterranean Sea,GCA_003836685.1,2000,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-28=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
IDEXX_Canine8,PDT000411696.1,United Kingdom,GCA_003836705.1,2004,,Canis lupus,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-66=COMPLETE,catB7=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Mex2,PDT000411702.1,Mexico: Loltun,GCA_003836835.1,2004,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-12=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
A22,PDT000411704.1,France: Paris,GCA_003836865.1,,clinical,Homo sapiens,"aph(3')-IIb=PARTIAL,blaOXA-851=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
A17,PDT000411705.1,France: Paris,GCA_003836875.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-905=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE",
59.2,PDT000411707.1,United Kingdom: Cambridge,GCA_003836925.1,1936,,Plantae,"aph(3')-IIb=COMPLETE,blaOXA-1028=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
A237,PDT000411710.1,France: Paris,GCA_003836985.1,,,Leporidae,"aph(3')-IIb=COMPLETE,blaOXA-904=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Tu863,PDT000411721.1,Tunisia: Tunis,GCA_003837195.1,1998,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-66=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Pae110,PDT000411724.1,Canada: Toronto,GCA_003837265.1,04/08/2010,,,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Lw1047,PDT000411726.1,Republic of the Congo: Lwiro,GCA_003837305.1,2001,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
LiA145_2005,PDT000411729.1,Portugal: Lisbon,GCA_003837365.1,2005,,Canis lupus,"aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Us411,PDT000411730.1,USA: San Antonio,GCA_003837375.1,1991,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
CPHL10701,PDT000411734.1,United Kingdom: Surrey,GCA_003837465.1,1967,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-278=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=PARTIAL,mexE=COMPLETE,mexX=COMPLETE",
Jp97,PDT000411736.1,Japan,GCA_003837505.1,2004,,,"aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-457=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
CPHL950,PDT000411739.1,USA: Detroit,GCA_003837565.1,1921,,,"aph(3')-IIb=COMPLETE,blaOXA-1028=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
IC1,PDT000411741.1,India,GCA_003837605.1,,,Canis lupus,"aph(3')-IIb=COMPLETE,blaOXA-1030=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
C5311,PDT000411746.1,Canada: Vancouver,GCA_003837705.1,2002,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
A19,PDT000411747.1,France: Paris,GCA_003837725.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-24=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PUPa3,PDT000411755.1,India,GCA_003838485.1,2004,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS149,PDT000411764.1,Australia: Brisbane,GCA_003838665.1,2007,,Equus,"aph(3')-IIb=COMPLETE,blaOXA-847=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS309,PDT000411766.1,Australia: Brisbane,GCA_003838685.1,2008,,Felidae,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-14=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS344,PDT000411767.1,Australia: Brisbane,GCA_003838695.1,2008,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS345,PDT000411768.1,Australia: Brisbane,GCA_003838705.1,2008,,Canis lupus,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS499,PDT000411781.1,Australia: Brisbane,GCA_003839005.1,2002,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-396=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS392,PDT000411782.1,Australia: Brisbane,GCA_003839035.1,2008,,Canis lupus,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS483,PDT000411783.1,Australia: Brisbane,GCA_003839025.1,2008,,Canis lupus,"aph(3')-II=HMM,blaOXA=HMM,blaPDC-41=COMPLETE,catA=HMM,crpP=COMPLETE,crpP=PARTIAL,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS150,PDT000411784.1,Australia: Brisbane,GCA_003839065.1,2008,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1028=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS165,PDT000411785.1,Australia: Brisbane,GCA_003839085.1,2008,,Equus,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS154,PDT000411786.1,Australia: Brisbane,GCA_003839105.1,2008,,Canis lupus,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS151,PDT000411787.1,Australia: Brisbane,GCA_003839125.1,2008,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS138,PDT000411789.1,Australia: Brisbane,GCA_003839165.1,2008,,Canis lupus,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC=COMPLETE,catB7=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS134,PDT000411791.1,Australia: Brisbane,GCA_003839205.1,2008,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-847=COMPLETE,blaPDC-53=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS124,PDT000411792.1,Australia: Brisbane,GCA_003839215.1,2008,,Canis lupus,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-24=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS702,PDT000411797.1,Australia: Melbourne,GCA_003839315.1,2011,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS283,PDT000411800.1,Australia: Brisbane,GCA_003839375.1,2007,,Felidae,"aph(3')-IIb=COMPLETE,blaOXA-1022=COMPLETE,blaPDC-12=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=PARTIAL,mexX=COMPLETE",
AUS355,PDT000411802.1,Australia: Brisbane,GCA_003839425.1,2009,,,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS058,PDT000411803.1,Australia: Brisbane,GCA_003839445.1,2008,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS504,PDT000411805.1,Australia: Brisbane,GCA_003839475.1,2009,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=MISTRANSLATION,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS339,PDT000411807.1,Australia: Brisbane,GCA_003839525.1,2009,,,"aph(3')-IIb=COMPLETE,blaOXA-1028=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS471,PDT000411808.1,Australia: Brisbane,GCA_003839545.1,2008,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS336,PDT000411810.1,Australia: Brisbane,GCA_003839585.1,2008,,Canis lupus,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS328,PDT000411811.1,Australia: Brisbane,GCA_003839625.1,2009,,,"aph(3')-IIb=COMPLETE,blaOXA-396=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS232,PDT000411814.1,Australia: Brisbane,GCA_003839755.1,2008,,Phalangeriformes,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-197=COMPLETE,catB7=PARTIAL,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS225,PDT000411815.1,Australia: Brisbane,GCA_003839785.1,2006,,Felidae,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS275,PDT000411816.1,Australia: Brisbane,GCA_003839825.1,2008,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-914=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS465,PDT000411817.1,Australia: Brisbane,GCA_003839845.1,2009,,,"aph(3')-IIb=COMPLETE,blaOXA-1028=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS207,PDT000411818.1,Australia: Brisbane,GCA_003839865.1,2009,,Phascolarctos cinereus,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS210,PDT000411821.1,Australia: Brisbane,GCA_003839915.1,2008,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS183,PDT000411825.1,Australia: Brisbane,GCA_003840005.1,2007,,Reptilia,"aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
982,PDT000411834.1,United Kingdom,GCA_003840165.1,,,Canis lupus,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA-W49,PDT000411837.1,United Kingdom: Nottingham,GCA_003840235.1,2012,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1032=COMPLETE,blaPDC-23=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AMT0006-66,PDT000411843.1,USA: Seattle,GCA_003840365.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS675,PDT000411845.1,Australia: Sydney,GCA_003840405.1,2005,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS674,PDT000411846.1,Australia: Sydney,GCA_003840425.1,2006,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-170=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS631,PDT000411847.1,Australia: Brisbane,GCA_003840445.1,2002,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS263,PDT000411850.1,Australia: Brisbane,GCA_003840455.1,2008,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS430,PDT000411852.1,Australia: Brisbane,GCA_003840545.1,2008,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-407=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS120,PDT000411853.1,Australia: Brisbane,GCA_003840555.1,2008,,Phalangeriformes,"aph(3')-IIb=COMPLETE,blaOXA-851=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS506,PDT000411856.1,Australia: Brisbane,GCA_003840625.1,2009,,,"aph(3')-IIb=COMPLETE,blaOXA-847=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS389,PDT000411859.1,Australia: Brisbane,GCA_003840685.1,2008,,Canis lupus,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS306,PDT000411860.1,Australia: Brisbane,GCA_003840715.1,2009,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-14=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS238,PDT000411861.1,Australia: Brisbane,GCA_003840695.1,2006,,Reptilia,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-109=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS460,PDT000411867.1,Australia: Brisbane,GCA_003840835.1,2006,,Felidae,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AUS343,PDT000411869.1,Australia: Brisbane,GCA_003840885.1,2009,,,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
